league_name,season_year,canonical_name,other_name,precision_score,is_confident_match
laliga,2009,athleticbilbao,athleticclub,77,True
laliga,2009,atleticodemadrid,atletico,67,False
laliga,2009,caosasuna,osasuna,88,True
laliga,2009,cdtenerife,tenerife,89,True
laliga,2009,fcbarcelona,barcelona,90,True
laliga,2009,fcvillarreal,villarreal,91,True
laliga,2009,getafecf,getafe,86,True
laliga,2009,malagacf,malagacf,100,True
laliga,2009,racingsantander,racsantander,89,True
laliga,2009,rcdeportivodecorunha,deportivo,62,False
laliga,2009,rcdespanyol,espanyol,84,True
laliga,2009,rcdmallorca,mallorca,84,True
laliga,2009,realmadridcf,realmadrid,91,True
laliga,2009,realsportingdegijon,realsporting,77,True
laliga,2009,realvalladolidcf,valladolid,77,True
laliga,2009,realzaragoza,zaragoza,80,True
laliga,2009,sevillafc,sevilla,88,True
laliga,2009,udalmeria,udalmeria,100,True
laliga,2009,valenciacf,valencia,89,True
laliga,2009,xerezcd,xerezcd,100,True
