league_name,season_year,canonical_name,other_name,precision_score,is_confident_match
ligaportugal2,2013,academicodeviseufc,academicofc,76,True
ligaportugal2,2013,atleticoclubedeportugal,atleticocp,61,False
ligaportugal2,2013,cdfeirense,feirense,89,True
ligaportugal2,2013,cfuniaodamadeira2021,cfuniao,52,False
ligaportugal2,2013,clubedesportivodasaves2020,cdaves,38,False
ligaportugal2,2013,clubedesportivosantaclara,santaclara,57,False
ligaportugal2,2013,clubedesportivotondela,cdtondela,58,False
ligaportugal2,2013,clubedesportivotrofense,trofense,52,False
ligaportugal2,2013,csmaritimob,maritimob,90,True
ligaportugal2,2013,fcportob,fcportob,100,True
ligaportugal2,2013,futebolclubepenafiel,penafiel,57,False
ligaportugal2,2013,gdchaves,chaves,86,True
ligaportugal2,2013,leixoessc,leixoes,88,True
ligaportugal2,2013,moreirensefutebolclube,moreirense,62,False
ligaportugal2,2013,portimonensesad,portimonense,89,True
ligaportugal2,2013,scbeiramar,beiramar,89,True
ligaportugal2,2013,scbragab,bragab,86,True
ligaportugal2,2013,sccovilha,covilha,88,True
ligaportugal2,2013,scfarense,farense,88,True
ligaportugal2,2013,slbenficab,benficab,89,True
ligaportugal2,2013,sportingcpb,sportingb,90,True
ligaportugal2,2013,udoliveirense,udoliveirense,100,True
