league_name,season_year,canonical_name,other_name,precision_score,is_confident_match
ligaportugal,2016,boavistafc,boavista,89,True
ligaportugal,2016,cdfeirense,feirense,89,True
ligaportugal,2016,cdnacional,nacional,89,True
ligaportugal,2016,cfosbelenenses,belenenses,83,True
ligaportugal,2016,clubedesportivotondela,cdtondela,58,False
ligaportugal,2016,clubsportmaritimo,maritimo,64,False
ligaportugal,2016,fcarouca,arouca,86,True
ligaportugal,2016,fcpacosdeferreira,pacosferreira,87,True
ligaportugal,2016,fcporto,fcporto,100,True
ligaportugal,2016,gdchaves,chaves,86,True
ligaportugal,2016,gdestorilpraia,estoril,67,False
ligaportugal,2016,moreirensefutebolclube,moreirense,62,False
ligaportugal,2016,rioavefutebolclube,rioave,50,False
ligaportugal,2016,scbraga,braga,83,True
ligaportugal,2016,slbenfica,benfica,88,True
ligaportugal,2016,sportingcp,sporting,89,True
ligaportugal,2016,vitoriafutebolclube,vitoriafc,64,False
ligaportugal,2016,vitoriasportclube,vitguimaraes,48,False
