league_name,season_year,canonical_name,other_name,precision_score,is_confident_match
serieb,2002,acsiena,acsiena,100,True
serieb,2002,acvenezia1907,acvenezia1907,100,True
serieb,2002,anconacalcio,ancona,67,False
serieb,2002,asbari,bari,80,True
serieb,2002,ascolicalcio1898,ascoli,55,False
serieb,2002,aslivorno,aslivorno,100,True
serieb,2002,cagliaricalcio,cagliari,73,True
serieb,2002,cataniacalcio,cataniacalcio,100,True
serieb,2002,cosenzacalcio1914,cosenza,58,False
serieb,2002,fcmessinapeloro,messinapeloro,93,True
serieb,2002,genoa,genoa,100,True
serieb,2002,hellasverona,verona,67,False
serieb,2002,sscnapoli,napoli,80,True
serieb,2002,ternanacalcio,ternana,70,True
serieb,2002,ucsampdoria,sampdoria,90,True
serieb,2002,uslecce,lecce,83,True
serieb,2002,uspalermo,uspalermo,100,True
serieb,2002,ussalernitana,salernitana,92,True
serieb,2002,ustriestina,triestina,90,True
serieb,2002,vicenzacalcio,vicenza,70,True
